Adj 1,Frequency
مجمر,7
همنگه,1
ببرده,2
بآزار,1
گلگونش,6
فتاده,30
شایگان,7
مهکم,1
نیکم,4
غمگینی,2
فزایی,5
گشایی,27
زخوبی,1
ناپسندی,1
تخمی,8
آیدش,3
ویرو,1
دارّی,1
گشی,1
بستیز,3
خیری,11
دریدی,7
شستی,12
موجه,12
گرستی,7
رمیدی,3
ببردی,23
طنبور,4
دمیدی,4
براندی,9
دلپر,1
دورای,1
مهربانوار,1
بیند,1
نایاب,88
دلگیر,59
دلبند,41
بیفزای,5
بشکفانی,1
پرمایه,42
رهانی,5
سردش,17
دوستر,19
خسپم,3
جوب,1
اردیبهشتی,1
بریدمم,1
انگیز,61
فدا,1
همرنگ,27
برده,2
برستی,9
امیدور,1
جاودانم,6
ماسرشته,1
فرزنده,1
پشتی,14
مغزی,62
زارم,66
دیرین,67
هزاهز,7
بخضودنی,1
ببخشای,13
مگداز,3
ستودی,1
نزانی,1
بزادی,5
مهتران,6
نرمتر,17
سختر,1
رایگانی,20
بیچار,3
بسازی,5
رنجی,1
رامتر,2
داشن,2
آسیائی,7
نردی,4
گردان,14
مادر,1
بیامیز,4
آزمند,3
آینده,20
بتگر,4
بیمارش,19
پژمریده,3
دایگانی,2
ننودش,1
ناپارساتر,1
رسواتر,4
نابی,13
مستمندی,10
سحتی,1
خستهتر,7
نوزم,1
بخت,5
نخچیرگانی,1
شمارا,1
وازشادی,1
معضوق,1
زشادی,1
بت,1
برنتابی,3
بانوم,1
جسته,17
دانگی,8
بیاور,3
غشته,1
گنبدی,4
رمنده,1
مارا,30
پرداغ,1
خرّمی,6
اردبهشتی,1
خویشن,1
ناخوبی,1
ریش,5
نیابی,55
بینم,3
حسروانی,1
بنواختی,1
سنگینی,5
دوستگانی,4
نتابی,2
بفگنی,3
ماهتابی,8
رامین,5
جانفزایش,2
زاستر,8
پیواسته,1
ویسه,2
ملحم,4
دلفروزی,3
دلخسته,24
تلخش,4
سربسر,4
آسانتر,11
حاده,1
جهانم,2
نشسته,24
درو,2
زردش,11
ننودی,1
تازهمکن,1
لشتی,1
بیندیش,20
صابر,7
گزینی,17
بیجان,17
لستی,1
خنجرم,1
پاسبانت,1
دیو,1
مهربانش,3
پیونده,1
غنودی,6
خویشتر,2
مخنور,2
جادوی,9
دوان,2
مننده,1
ژمین,1
تیرانداز,12
سفالی,34
خواش,1
ستمگار,5
ننالی,5
سگالی,3
منده,4
رعناتر,3
سپارم,2
یاور,2
بفزای,1
مهربانم,8
بجا,157
خلیده,5
برفته,1
بستهچو,1
پرشتاب,17
نکورای,1
آلای,1
دلربایی,7
بیخواب,6
منا,2
زروقی,1
نجنی,1
گشّی,5
خوشبو,18
شرنگ,2
دیدباری,1
استواری,7
نارمیدی,1
سفله,23
آزمودی,5
بودی,6
جفتی,8
سبزپوشی,2
غران,8
بلبلش,1
کیلی,1
بکشتی,2
بشویی,1
ایجهانی,1
زانگه,1
شدمانده,1
نرو,1
سزایی,2
کامگاری,5
دگر,16
ویرانتر,7
سردتر,10
آگنده,37
لاکه,1
جانانم,5
کدامین,5
فگنده,22
فگندی,15
غمگساری,11
راخانی,1
ملون,17
قندی,15
گلم,13
ایدر,11
گلبوی,4
گساری,7
مخمور,108
رگته,1
بآیین,4
مشکبارش,4
سخنگوی,11
مُشک,1
دویدی,10
کوهسارم,1
مفرمای,14
عاشقای,1
برفتی,13
خوردی,4
خشمناک,14
بدروغ,4
دوشوار,1
وبی,7
ناخوانده,24
زیانست,1
غریبم,1
بدمهر,2
زینهاری,13
بریدی,5
کهنتر,3
ببریدی,5
مفلسی,15
هجر,6
رهگذاری,2
همالی,4
اورا,2
بیچارگانی,1
ماهم,4
گزیدی,10
گرامش,2
نبستی,8
نیکی,19
زریری,1
کارا,8
بدینی,1
پری,9
پسندی,19
نپایی,5
نشاندی,9
بالینی,3
حرمی,3
گاهم,1
مومین,7
بفزودی,1
وانجهانی,1
غمّ,1
تخاره,1
آذرین,1
بیگوش,1
پیلستکین,1
حوشبوی,1
آشناإا,1
رفته,24
غمخواره,11
فسونی,2
نیکوانی,1
کهسار,15
تاکیتند,1
گمگشته,4
بازدیدی,1
نازکتر,17
سستی,5
سزیدی,2
نبشتی,4
آذار,2
صعیف,1
کام,3
سردم,7
نازم,43
پنداشتی,7
رامی,3
دلارا,8
سلار,1
چنینی,29
مهروی,3
گلبرگ,2
بیزاری,2
نخواندی,2
خوابان,1
جاودی,1
بیدلانی,2
حاکستر,1
ارزانی,6
مهرکاری,1
دشواری,13
نامورتر,6
نومیدی,5
لرزنده,6
ندتر,1
بهارش,1
نیکت,2
برگاه,1
شدستی,23
خامش,11
آرامم,23
مرورا,3
گیرا,19
یقینی,33
نیکبختی,6
ستمارا,1
پیگار,2
جامش,3
فگتی,1
نهانتر,1
بلعجب,3
لشکرگه,2
بخشای,8
آسودهتر,8
خاصش,10
بودنی,6
آنجهانی,5
پذیری,8
نگیری,13
اخترکام,1
مردوار,9
برانداز,39
جانباز,4
سجاده,9
خانهٔ,26
گزندت,1
سپندی,7
ماتمی,9
وانگهی,6
مبهوت,15
مفروش,58
خوشتری,3
گرمش,12
جفته,3
معزولی,4
نامحرم,49
غیبی,55
تنک,86
نابود,114
عزی,1
نقط,3
جلفتر,1
برفشانی,8
شرمسار,107
نفور,6
مرموز,8
اعجمی,9
عور,10
جسمم,6
عاشقانش,1
بسمل,22
امامی,3
یکی,6
وامانده,33
دربسته,29
غمزهٔ,17
بنواز,8
برندوزی,1
کفری,3
برشکافی,1
گفتاری,26
عنبرآگین,5
ممتاز,85
بازمانی,3
درستش,10
فشرده,17
سجلی,2
نگردی,4
کندرو,22
مجالم,1
زیم,2
ملالم,3
حلالم,2
جانان,14
واله,8
نیشکری,4
نازکی,24
جوینده,20
جفا,1
امشبی,2
نامحرمی,3
مزیده,6
کلاهت,1
رشحی,2
صبوح,23
راهوی,2
صلوح,1
نازنین,34
مترصد,2
اساسی,25
مسوزم,1
گرمم,17
معتکف,7
منوازم,1
بیخبر,61
دوای,1
نسازی,1
کفی,10
خوانا,4
سرخش,15
عیش,3
مردتر,2
خشکتر,9
غیری,91
ناگردیده,1
غلطیده,7
نامتناهی,12
بزرگتر,25
شگرفی,20
سرسبز,43
دیندار,31
بولهب,18
شنگانه,1
اندیشی,12
بیخودی,73
مردافکن,8
خادمی,4
استخوانی,40
سجل,9
عذرخواه,2
حشر,7
قلبی,48
بیرنگ,15
زاد,6
سرسبزی,3
غمخوارم,1
بسیارم,2
عطارم,1
فرا,9
نا,5
مذهبی,14
بنمودار,1
سبقتی,1
اوباش,8
هویداش,1
منشین,4
مبتلایی,6
کو,97
درازتر,13
میخانه,7
تواش,9
مپندار,14
مهیب,18
مطار,1
مخفی,67
دردانه,40
مقصودش,1
بریان,8
همدرد,20
ابروی,13
گدا,15
شیرخواره,10
سرکشش,6
شغب,20
غلغلی,9
گویدم,1
مردهتر,4
زندهتر,14
راهبر,9
رعنا,75
لجوج,3
عظیمتر,3
آرزوم,1
بمیر,11
شکرباری,4
زیبنده,19
یابنده,2
دریابین,2
فراتر,23
مسدود,13
یکدم,13
دنیاش,1
گلچهره,1
سبزش,23
هرکسی,5
سوزنی,22
یکرنگ,76
مذاب,51
خواهی_هرچه,1
هویدا,112
عذر,1
دعوی,2
خطرناک,29
برگیر,30
مکانی,22
سرفکنده,6
طراز,10
خرفی,3
مسوز,17
گلخنی,4
کشتنی,6
رهزنی,4
ماتم,1
خواهی_سور,1
حسینی,3
زن,17
ایثار,1
وری,22
نرسدش,2
مرتد,10
گرفتارش,11
فضول,14
منیوش,5
بردر,2
مندیش,12
صراف,1
میندیش,2
راندی,6
ببخشی,6
فعال,31
واپسین,66
مسجدی,2
مده,13
نگنجی,4
تپم,12
مشکلتر,1
شاغل,2
تابداری,1
فاسق,32
پرغصه,2
رگی,31
شناگر,1
صر,1
مقبل,1
گبری,4
ناپروا,3
بحر,2
وصلش,2
غمخوارهٔ,1
دردت,1
دادی,5
فراموشش,17
فقیری,17
سبکدل,2
بجاستی,1
جانفزایی,3
ماورایی,1
معتدلم,1
ناتمامم,1
بلندتر,12
ورستی,2
برونی,31
گرنه,9
روحم,1
زانچه,8
جرعهٔ,7
بباز,4
سخنور,12
کفرم,1
گداتر,1
خطیری,2
سواره,28
لرزم,6
قدسی,81
مباحی,3
جناحی,1
لاابالی,79
لافلاحی,1
رباحی,1
کلیسیای,1
بنمودی,14
مسمی,7
سودا,6
کانچه,2
بجایی,25
چشیده,4
مغی,2
عنبریم,1
مقامریم,1
رهم,2
تماشایی,47
بیکاره,7
مانده_ای,5
مخسب,37
درافکن,4
برانگیز,9
فرومانده,9
مسیحایی,4
پوستی,15
عرشی,15
محقق,26
بنهادی,10
نویسی,1
لایموتی,2
دردناک,56
پرهیزگار,31
ذره,4
لؤلؤی,4
مفرشی,1
سربسته,23
بزمی,15
درآیی,21
گویاترین,1
تیزبینتر,1
بمانده,14
آخرالامر,2
کنارگی,1
نشنودیی,1
ویرانه,88
زنجیری,2
کلیدی,9
برمخیز,2
قنینه,10
ناورد,1
جانسوز,38
آشفتهتر,23
بسوختی,9
پدیدستی,2
نیارمیدستی,1
دویدستی,1
فتادستی,2
وزیدستی,1
پروریدستی,1
عشقی,56
لاجوردی,8
دلبندی,2
پیوندی,23
خندی,18
هوشمندی,1
زدندی,6
آزموده,15
بمردی,8
نخوردی,12
کوردل,13
نانشسته,1
کمانی,10
دماری,2
پرواری,5
زاری,1
درشکستی,2
غمگنانی,1
بهستی,1
غریزی,9
برخیز,28
محرم,5
بفروشی,3
عشاقی,2
لایزالی,42
ذوالجلالی,6
مستعجلی,2
لایعقلی,3
کارمی,1
بیزارمی,1
اغیارمی,1
عطارمی,1
خلقانی,3
مباز,26
بسوزانی,3
مغیش,1
هویداتری,1
ستمکش,7
بخواهی,1
دلفریبش,1
ناگهانی,41
سبکم,3
پروار,7
دمانی,4
هرچیز,2
کنونی,2
دونی,4
رهگذری,1
بدروی,2
گاهگاهی,3
مبتدی,3
بربایی,4
غمزه,16
پرگره,1
هرجایی,5
مستوری,28
صنعی,5
بزدایی,4
اشکسته,34
نشویی,2
مستوی,12
اسفل,7
تیزپر,3
بخایی,1
خوفناک,7
بهترش,4
مارآ,1
اتی,15
مقرم,1
سستتر,5
موریش,1
جفاپیشه,2
نافه,27
بیفزایدش,2
الکبری,3
مااوحی,1
سبطین,1
ناشنیده,20
المرعی,1
دوپا,2
مجید,6
سرافکنی,2
سپیدم,2
اشتر,3
شومت,3
چخیده,1
فروگردانی,1
بیفایده,3
آبشخور,1
گوژپشت,10
جوفروش,1
بفکن,2
نابودم,1
لایقتر,3
کاردیده,6
سگی,21
زهر,2
شکنی,5
بوسی,12
عزیزی,23
بیقرار,66
چبود,2
آهنی,34
روزه,14
دستار,2
بندانی,1
کنعانی,19
یکدگرند,3
مسخرم,2
منورم,2
خضر,4
لشکرم,2
محشرم,3
سرگشتهتر,7
شوندی,1
کبریاش,1
برسان,1
استد,1
ماحضرم,1
فروبستی,1
بیچون,23
فرومانی,3
شهوانی,8
ربانی,42
یزدانی,4
بدرانی,4
سندانی,4
نیسانی,20
گویمی,22
حلقهٔ,2
آگاهمی,1
نوری,48
ماندهٔ,5
طفلمی,1
وحشی,330
بنفشی,2
معلی,5
نمناک,32
کایینهٔ,1
سرخوش,59
رمیده,8
خوشنوا,1
چالاک,123
احکم,1
شناسا,23
متصف,21
ضایعم,2
عمیق,28
ملایک,11
مبعوث,5
بایدی,1
سابق,29
مشتی,8
بودمی,50
سلونی,1
نفاقی,2
رهاکن,3
حلم,1
کافرتری,1
بباش,7
زانی,7
پرانتظار,3
برفشان,1
مطلوبم,1
لبی,18
بفسردی,1
فستقی,8
غیبم,18
النعیم,4
غسلی,4
مرغان,3
ناپاینده,4
بازآینده,1
بددلی,1
حلولی,1
فضولی,29
تافتی,6
پوشیدی,2
خورشیدفش,1
ترسازاده,1
سوزی,13
بسوز,2
گبرکی,1
همساز,2
دولتیتر,2
بانبازیش,1
العینی,1
بنتوانی,2
محمودش,1
خرمانده,1
جایگه,99
بدنامی,7
کمش,4
دریاکنی,1
عاجزتر,6
صبود,1
واحد,18
گفتی,3
مرقع,17
برگستوانی,1
گورکن,1
نافرمان,10
گرفته,6
خرامی,42
معنی,4
استر,3
خشکش,14
فشاندی,18
ابریشمین,4
مغزا,1
بگردی,4
مرید,10
محترم,82
بهمت,1
پیرتر,12
سرنگونش,1
چندینی,20
مشکش,1
نجس,24
دوی,33
گرفتارآمده,2
رازدان,1
گستاخیی,1
خنگی,8
عمید,1
بارانی,27
روزنی,12
یعقل,1
معذوردار,2
زانجا,4
ببریده,8
گلخن,2
فروخت,2
دورآمده,1
بینیی,1
ظاهری,25
سره,3
خوارگی,7
مشغولی,9
بشکافی,5
مقبولیی,1
مونس,3
شنیدستی,5
رایجتر,1
محکمش,2
واماندگی,15
کذاب,13
درونی,33
لایعقل,14
مفرح,24
کارافتاده,1
افتادش,1
ناگهی,17
سرکنی,1
پشیمانتر,4
عاشقش,9
زاهدی,2
نشنیدی,5
کبابی,17
ریگی,3
دیدش,3
درایی,14
کنجی,1
بخفتی,7
ماگیری,1
ببیهوده,1
گوی,10
شادش,14
آزادش,23
خطبهٔ,1
آتشی,4
پرعشق,1
ماندندی,1
دریافتی,15
دانمی,3
حیرانمی,1
گفتش,5
بیهوشی,18
روغنی,14
ناچیزی,5
شکفتی,5
نبودش,2
عبری,6
مایی,1
فرع,2
پیداآمدی,1
منسوبه,1
بنشاندی,11
سرفکندی,1
فتادش,2
خلعتی,10
وخاکستر,1
خواه,4
کزین,13
فربهتر,4
امروزین,5
بیانی,31
لزج,1
افروختی,9
ناکرده,19
اشعارمی,1
جوامردی,3
مطلقی,19
البلی,1
مسروقه,2
یعدنی,1
فاختبرنی,1
مزّین,4
شنوده,6
توئی,28
ذرّهٔ,1
پیدائی,7
نسنجی,2
بنمای,12
جاویدی,5
زین,10
سِر,3
لامکانی,29
نخلی,9
سَرّ,1
تجلّی,29
عطّار,20
پائی,7
برگزیده,11
خصمش,3
راسخ,9
حاصلش,1
قیّومی,1
معلومی,1
العالمینی,1
ملموس,1
ملفوظ,1
آشکاره,3
مندی,11
بیکبار,83
سرنگونتر,5
سرفرازی,4
معتقد,37
دلفروز,12
مفلوج,2
دوزخش,3
سارش,4
براهت,1
سَحَرگاه,1
الهم,1
مبتلائی,3
ریزیده,1
مُردم,1
سیمبر,5
بدیدی,12
مأواگه,2
اسپم,3
حیز,10
ماندم,2
ازملوکی,1
ممتازی,12
جُندی,1
خفتی,14
بهنگام,4
مذهبش,1
بخاکش,1
بزاری,15
باهوش,16
پُرسی,1
محیّا,1
دنیادار,5
نگوئی,4
بهندی,1
اماره,18
بسامان,8
طالب,14
طپیدی,3
گرفتی,6
حاجبی,4
بصید,1
شهسواری,8
نَی,1
گُمراه,1
سرانداز,4
نبوَد,1
جادوئی,8
سرفرازم,2
بشنیده,6
بگریز,10
دجّالی,1
مکّار,6
عُقابی,1
مُشفق,1
غدّار,18
سوئی,7
چوخورشید,2
یزیدی,3
خرقهٔ,1
صِرف,2
ناتمامی,13
خَیری,1
پیرنامی,1
مقامی,9
بشبدیز,1
باخلقی,1
چنانی,6
کاهلی,3
آئی,8
گشائی,3
نقلی,20
دایر,13
جاویدش,1
دلدوز,5
مردهٔ,9
ازچنین,1
هلاکی,3
دامنانی,1
نااهل,6
ونانی,3
مبرز,4
امروزی,32
مؤذّن,2
مشمر,3
بُبرّی,1
ترمذی,1
میسّر,10
گِلی,2
درآموز,1
درازش,23
مردارِ,1
ملعونی,2
مأیوس,25
فریادرس,22
فغانی,4
لاف,9
خَیر,1
پیچی,18
حیضش,1
پاکی,9
واسطی,1
نسوزی,1
بمحشر,3
گُربز,1
ذوعقل,1
خاصی,31
مَیل,1
قدرِ,2
ودل,4
ننوشی,3
طعامی,2
غیربینی,1
بیکبارش,1
جدش,1
بوشهدی,1
کای,4
سبزتر,6
نیسب,1
افراختی,2
خلوتگهی,1
مژه,5
قلّاش,2
باژگونه,6
برفی,7
داغش,1
ذرّه,3
تازهتر,11
مُردی,3
زیرِ,2
گِل,2
پیرست,1
بَدَل,1
یخی,1
ملازم,13
مهیّا,2
بیخویش,10
سَیلی,1
بستدی,9
بپرواز,4
اوّلین,85
خُلق,3
خریدش,1
حمّالی,1
مردار,5
دنیاوار,1
کَی,1
شُستی,1
خدائی,69
مُرده,11
نباشی,2
سرنگونم,1
مردئی,1
بلائی,2
جوش,2
کان,17
گزنده,12
اوفکنده,1
بیقراری,17
نهفتی,3
بیشم,1
غوّاصی,1
مفردی,2
ناساز,41
درگازری,1
آرامشان,3
گزیری,1
مرصّع,5
شُتُربان,1
بدرویشی,2
دُنیی,1
مواشی,3
طلبکار,102
نحیف,6
مُجرَی,1
جبّار,4
بخاکم,2
نزاری,71
نازنینم,6
خبرگوی,1
آنجایگه,3
اتّفاقی,1
پُلی,1
مالِ,2
واین,2
دلخستگان,1
گلابش,1
کُش,2
وخورده,1
آرایشی,9
مزخرف,6
لهو,1
محوش,1
نکوکار,6
راستش,13
برفکن,1
ازماه,1
ناگاهت,1
درجوالی,1
خواهدت,1
برکشیدی,6
بیدارئی,1
هشیارئی,1
گریانستی,1
جهودی,4
معمّر,2
عظیمش,2
بافی,4
غلامم,4
بغیری,1
خوری,13
دلنوازی,2
نمائی,10
ناقصی,5
بلیلی,1
دَنی,1
کُشته,4
سیر,21
جزپشیمانی,1
بمعنی,38
مردارتر,1
فتوی,2
آتشینی,2
مَثَل,1
گس,4
مستحاضه,1
شرابی,6
کافری,3
راندهٔ,2
زُبَیده,1
بجایش,1
مُحالی,1
غافلی,36
خاکدانی,3
لااُبالی,1
مدّعی,6
رُکنی,1
انگشتی,1
بپرده,1
پشولیده,1
نقدش,2
آواز,7
اودید,1
بسالی,2
ربابی,6
دلربائی,6
کعبتین,1
محقّق,7
اداکرد,1
بالائی,14
ودختر,1
جَسته,1
قامت,1
زخمش,1
سرچنین,1
گردونم,1
جراحت,1
سپردی,11
داروئی,5
برکار,2
شنیدی,5
آشناام,1
قدّوسی,2
مردِ,3
برخوانی,5
حَمزَه,1
خورش,7
تگ,1
کردتی,1
بودنت,1
وارش,5
فقاعی,2
درخویش,2
صامت,11
گنگی,2
تنّعم,1
موئی,17
بسر,27
خَلَل,1
جوئی,26
ونه,4
ودردی,3
غیریم,1
مومم,2
محرومم,5
پیرخوانی,1
دردام,1
خامشی,20
بما,4
ورائی,1
هوئی,1
تادربندِ,1
زادستی,2
بپوشی,3
نامرده,2
آفریدی,7
کَون,1
مِلک,1
منشورِ,1
عظیمی,8
منّتی,1
درگلستان,2
بیفتی,3
نوعروسی,1
معقول,82
خداوندیش,1
برگوی,4
بداور,1
اندرین,4
میباش,6
بدیده,4
پندی,2
آموختندی,1
شکرخوار,1
نپوشی,2
ماندونی,1
مخراش,7
سوز,3
نطقش,5
الذنبی,1
راهی,2
قطرهٔ,4
ماترسیده,1
مان,8
بارگاهش,2
کوامین,1
درستت,1
خرگه,13
آنکسی,4
سرانگشتی,2
مستحضر,3
بتحفه,1
مرسلین,2
جبریلا,1
بارگه,6
شفیع,2
العزه,1
قدس,2
فاروقیش,1
مشبک,19
ونی,2
موشی,4
خواهد_نیز,1
بهنجار,11
هادی,4
آویزشی,1
آمیزشی,1
اسرارگشته,1
درگاه,1
نبابی,1
درآبی,1
بدرگاه,1
تازیم,1
بغواصی,1
زینجا,5
صدراز,1
درخورآری,1
کفک,1
بجانی,3
کاینجا,6
طیبه,6
محجوبون,1
نمانی,11
بزنجیر,3
معبودم,1
پگه,3
عودتر,1
بیهوشتر,1
مشتهی,4
بتیغی,1
بانی,2
نرانی,9
خلاصه,4
مدهوشی,7
سفیهی,2
نمیری,2
حضوری,11
مرده_باشی,1
پرکار,11
برآیی,12
نطفهٔ,1
بگذشتی,2
رادستگه,1
خوددار,2
دانشی,1
درخواب,2
مومی,10
لدنی,10
برگرفتی,9
تعظم,1
فدات,2
پروریدش,1
ناافتاده,1
نانمازی,1
بریش,1
قفایی,1
گرسنهتر,4
پرداز,40
بمنقار,1
لشگرم,1
گفتنی,52
بگفتار,3
داسی,1
مشگل,3
کینی,1
باکناری,1
سنجی,16
فروماندی,2
شطرنجی,2
دلوی,5
برگشاده,17
گرحظیره,1
طنگی,1
اعلاگردی,1
بیارم,1
دگرمی,2
ودیار,1
پرنه,1
نیم,4
ناپای,2
پرفسانه,1
سرکشی,7
ازخار,1
بماهی,5
خودکامی,6
بمرگ,2
پیرش,17
صراطی,1
پرگشاده,1
بیوسی,1
فرومرد,1
غولی,7
بازمانده,22
بحدش,1
برکشیده,36
بسارخکی,1
منیری,9
بسختی,4
پزی,3
بعمری,2
ساعد,2
وجای,2
سودی,1
سرماش,1
گرماش,1
ویرانهٔ,2
قماری,6
آپخش,1
مشگ,6
جوف,1
بطیبت,1
بخوردی,6
کلوخی,4
بباشی,2
بدمسازی,1
وساکن,1
بتنهایی,1
کورتر,6
نخفتی,4
بنداز,1
آرامی,20
پرسخن,5
بدردی,3
اشگ,1
افروز,5
شاهت,2
اشتری,3
هنگ,1
باستی,1
روگردی,1
زیؤتی,1
بنوری,1
باشدار,1
همنفس,4
ضعیفش,3
متّصف,7
انااللّه,2
العیوبی,1
ندایی,4
علّتی,1
رمزلایزالی,1
منّور,2
سلوکی,1
الکرسی,6
مسّمی,1
معطّر,5
برزه,1
زمرهیی,1
مقیمست,1
لعمرک,1
القری,1
جالی,1
مثمن,4
مدوّر,2
ونورش,1
موحدّ,1
بخواندی,4
داین,1
گمنام,12
جدّو,1
بوحنیفه,2
صاحبقرانی,5
خوشگوی,7
طوطیی,1
سمعی,1
داعی,10
خطّی,3
قصّه,2
انتخابی,4
زننده,10
بسنبل,1
فرمودی,9
برحق,5
بجستی,4
ودادی,1
مثمّن,1
عنکبوتی,5
بحالی,2
نیرومند,5
بازیچه,1
کوبی,11
بشکتفه,1
بازیب,1
بیسراکی,1
آرمیده,9
بیسر,14
آشنانه,1
ظنّی,1
بیحسابی,1
دلستان,2
دلریش,4
همسال,3
بردندی,3
وجمالی,1
لعلی,16
افگنده,23
خوابگاهی,2
مشوّش,8
یکباری,8
بغوری,1
ازگل,1
درآمیز,2
کالقصه,1
مخمل,9
بلوری,3
القضاتی,1
برماه,1
دایهیی,2
خواندی,6
سدابی,4
ارزنده,31
شکّر,3
خرباز,1
حوض,1
صدپری,1
میخرامی,1
بیوفایی,8
بشکفتی,3
بسرشته,1
امّید,1
درپای,3
پالای,11
کفشی,3
نافرجام,10
خطّش,1
برخرگوش,1
ناگفتنی,3
میچمی,1
بگسلی,2
بنگشایی,1
دلگرم,7
میدار,6
مردهیی,2
ازنظاره,1
پردود,3
گرانی,2
بیهوشانه,1
نامعلومی,1
زاستانه,1
شهزادهیی,1
چمنده,1
لبالب,62
فسون,7
شورانگیز,44
آنسرو,1
میکنی,53
بشنودی,1
ازجای,2
خواهی_سروسنگ,1
بیداریش,3
چنبز,1
جامهیی,1
درانداز,2
بخواری,11
بپیش,3
خندانی,7
معیاد,1
ازکبودی,1
زینسو,1
بسراینده,1
رسیدی,18
پشمم,1
سحرخیز,15
دستگیرم,1
افگندی,3
بادانگیز,3
میدهی,8
ناوفادار,2
درکشیده,4
بآواز,1
دانهیی,1
همآوازان,1
برتختی,1
رایزن,1
نطع,4
انتجاعی,1
نبخشی,4
صفدران,1
روزیم,1
بآمیع,1
پرداختندش,1
ساختندش,1
علو,1
افتی,13
بگشای,10
غوری,5
بردپای,1
صراحی,20
نوشان,31
گلرخش,1
خزانه,1
خلوتخانه,1
ازحد,1
چکانی,6
بیکس,3
بیتو,2
دستخیزی,1
درکشیدی,3
نپرسی,4
مفلس,2
عشقبازم,1
عنبرینی,1
بریزی,2
توپر,2
برّیدگی,1
مذابی,2
مستقیمی,1
دوز,8
مُجاهز,1
بیصبر,3
صحرانگه,1
برانده,1
کوثری,3
مشگین,8
غباری,3
بدرگ,2
خندقش,2
سرگشادی,1
کربز,3
بمی,15
بیدریغی,1
اطراف,5
دلدادهیی,1
مونسش,1
بناکامی,2
ودانایی,1
آستان,3
زیروز,1
وماهی,1
وشمعی,1
پرکردی,1
رازم,1
ماتمم,2
کاخر,1
سیلابی,8
دزدیده,3
بدیوار,2
اوفتیده,1
طرّاری,1
قراضه,7
بمنشین,2
غوره,1
غنجی,2
بیمار,17
ومشکین,1
سرگران,3
برمن,1
اکرامی,1
کوهساری,2
دهانی,15
باماه,1
پگاهی,2
تندرست,29
بیاری,15
بیکجا,1
مردمخوار,3
زنگی,7
پشتیونی,1
باشکوهی,1
بآخر,2
نرگسش,1
بیغم,2
وخوبی,3
بکاهی,3
شرمندهتر,2
بخشندهیی,1
زرّینه,1
باقیی,1
ساقیی,1
دلخوشی,1
مشّاطهٔ,1
مسمّن,1
حور,2
وزیده,4
صبوحی,47
سنگساری,1
عراقی,226
شکرخای,3
اغانی,5
درده,9
آستینی,2
مقرنس,9
چنبرش,1
ضمیرم,5
پراختر,2
تنوری,1
ازوعده,1
رادیده,1
برکلوخش,1
کشفگر,1
منشاندی,1
همخانهیی,1
برشمردی,1
نوساز,1
ناجوانی,1
معتمد,8
بازآری,2
غصّه,3
ساعدش,1
نازنینی,32
ببینی,3
رازبگشای,1
مسیحی,9
خورشیدم,1
مامونی,2
خونخوارگی,2
قیری,1
نوزادهیی,1
سرنگونی,2
آغشتهتر,2
غری,5
ماندش,5
استاد,2
رخامین,1
بانبوه,1
زراندود,2
بشادی,11
جُلاّب,1
میفتادی,1
مینهادی,2
غول,4
یکتاییی,1
ازانجا,1
پرّان,1
سمنبوی,1
عینی,27
خشمگینی,1
مردمم,4
پدیدست,1
زلفی,8
گرمیی,5
نعرهیی,1
ماتمزده,2
همخانه,9
اوبدیدی,1
پرداشت,1
معنیی,8
سنجمی,1
دروده,3
سحرده,1
کمم,2
مژّه,6
تابکی,2
آوردهیی,1
باریکتر,18
نداردروی,1
اززمانه,1
اوفگنده,1
دادخواه,4
کاغذین,1
منظرنگه,1
سهمگینتر,2
قطبی,4
کاروانی,3
آمدنهانی,1
بیوقت,1
مُقریک,1
جامگی,3
زسردرمیگذشتی,1
صداجل,1
رویارو,6
بکف,1
شبانگه,3
پاکدل,10
عفوم,1
بهردستی,1
ونیکویی,1
سوکی,1
سرگردانش,3
خستی,8
زانگونه,4
شمردی,5
پرسوز,3
خونخواری,3
مطلوبی,10
بیزی,6
بازداری,2
میدانی,38
ضد,10
غمخورم,1
سحرگاهیش,1
ناگزیرش,2
مائدهٔ,1
ذرّهای,2
مُجاهِز,1
مگسی,7
نانوشته,11
مُفرِّحی,1
بیدرمان,2
خواجهتر,1
بیخویشی,2
بدیعی,3
بینشانی,5
بیپا,1
برهی,7
مشتق,15
فناءِ,1
غمِ,5
درگه,3
–کزین,1
مسکینیم,1
منبعِ,1
بینهایتی,2
حیرانی,20
سینهٔ,4
مپرس,3
عالمم,5
بیشش,1
بیچونی,10
مسافرم,1
هزاردرگه,1
ادراکی,7
ماندهای,3
دُردی,3
نامعین,1
میبینی,6
نهای,2
کمت,8
بمناز,1
بیحس,1
بیباکتر,2
خاکتر,1
بیخویشتنی,1
عِزْ,1
بینصیب,1
نارفته,2
ایمانی,24
بیجگری,2
بیبهری,1
بیزهری,1
مدان,4
بسملی,5
میگویی,1
بیقین,4
داشتهای,3
منِ,2
غرقهٔ,5
ناآورده,3
بزاده,1
چهای,1
دروی,6
بیدارترین,1
بیوفا,7
شبرو,4
جگر,6
مستمعی,3
مهوّسی,1
تعجّب,1
میخور,1
تکی,2
مور,1
نزنی,18
الاهی,15
میاندیشی,1
توانی,2
پردهنشین,1
خوداندیش,1
مُذَبْذِبِین,1
منافقت,1
میجویی,1
